Pattern Code,Series Prefix,Suffix,Suffix Meaning,Sample Book Page,Swatch File,Width px,Height px,Source,Solid Fill Hex
AE-1632,AE,,,36,swatches/AE-1632.jpeg,169,102,embedded,
AE-1632AR,AE,AR,Abrasion Resistant,8,swatches/AE-1632AR.jpeg,349,232,embedded,
AE-1632EX,AE,EX,Exterior,10,swatches/AE-1632EX.jpeg,90,149,embedded,
AE-1632TIL,AE,TIL,Tiled Design,12,swatches/AE-1632TIL.jpeg,133,90,embedded,
AE-1633,AE,,,36,swatches/AE-1633.jpeg,169,240,embedded,
AE-1634,AE,,,44,swatches/AE-1634.jpeg,169,102,embedded,
AE-1634AR,AE,AR,Abrasion Resistant,8,swatches/AE-1634AR.jpeg,90,62,embedded,
AE-1634EX,AE,EX,Exterior,10,swatches/AE-1634EX.jpeg,90,62,embedded,
AE-1634TIL,AE,TIL,Tiled Design,12,swatches/AE-1634TIL.jpeg,133,89,embedded,
AE-1635,AE,,,44,swatches/AE-1635.jpeg,169,102,embedded,
AE-1635EX,AE,EX,Exterior,10,swatches/AE-1635EX.jpeg,90,149,embedded,
AE-1636,AE,,,44,swatches/AE-1636.jpeg,169,102,embedded,
AE-1637,AE,,,42,swatches/AE-1637.jpeg,169,102,embedded,
AE-1638,AE,,,42,swatches/AE-1638.jpeg,169,102,embedded,
AE-1639,AE,,,42,swatches/AE-1639.jpeg,169,102,embedded,
AE-1640,AE,,,42,swatches/AE-1640.jpeg,169,102,embedded,
AE-1643,AE,,,22,swatches/AE-1643.jpeg,169,102,embedded,
AE-1645,AE,,,44,swatches/AE-1645.jpeg,169,102,embedded,
AE-1646,AE,,,44,swatches/AE-1646.jpeg,169,102,embedded,
AE-1717,AE,,,42,swatches/AE-1717.jpeg,169,102,embedded,
AE-1719,AE,,,42,swatches/AE-1719.jpeg,169,102,embedded,
AE-1913MT,AE,MT,Matte Series,38,swatches/AE-1913MT.jpeg,169,240,embedded,
AE-1913TIL,AE,TIL,Tiled Design,12,swatches/AE-1913TIL.jpeg,132,211,embedded,
AE-1917MT,AE,MT,Matte Series,38,swatches/AE-1917MT.jpeg,169,102,embedded,
AE-1921MT,AE,MT,Matte Series,38,swatches/AE-1921MT.jpeg,169,102,embedded,
AE-1928MT,AE,MT,Matte Series,38,swatches/AE-1928MT.jpeg,169,102,embedded,
AE-1930MT,AE,MT,Matte Series,38,swatches/AE-1930MT.jpeg,169,102,embedded,
AE-1932MT,AE,MT,Matte Series,48,swatches/AE-1932MT.jpeg,134,90,embedded,
AE-1944MT,AE,MT,Matte Series,38,swatches/AE-1944MT.jpeg,169,102,embedded,
AE-1953,AE,,,52,swatches/AE-1953.jpeg,134,212,embedded,
AE-1955,AE,,,44,swatches/AE-1955.jpeg,169,102,embedded,
AE-1959MT,AE,MT,Matte Series,38,swatches/AE-1959MT.jpx,169,102,embedded,
AE-1960MT,AE,MT,Matte Series,38,swatches/AE-1960MT.jpeg,169,240,embedded,
AE-2149,AE,,,40,swatches/AE-2149.jpeg,169,102,embedded,
AE-2150,AE,,,40,swatches/AE-2150.jpeg,169,240,embedded,
AE-2151,AE,,,40,swatches/AE-2151.jpeg,169,102,embedded,
AE-2152MT,AE,MT,Matte Series,40,swatches/AE-2152MT.jpeg,169,102,embedded,
AE-2152TIL,AE,TIL,Tiled Design,12,swatches/AE-2152TIL.jpeg,133,209,embedded,
AE-2153AR,AE,AR,Abrasion Resistant,8,swatches/AE-2153AR.jpeg,192,149,embedded,
AE-2153MT,AE,MT,Matte Series,39,swatches/AE-2153MT.jpeg,196,239,embedded,
AE-2153PO,AE,PO,E-Series PO Polyolefin,16,swatches/AE-2153PO.png,319,198,rendered,#FFFFFF
AE-2153TIL,AE,TIL,Tiled Design,12,swatches/AE-2153TIL.jpeg,132,89,embedded,
AE-2154,AE,,,39,swatches/AE-2154.jpeg,196,239,embedded,
AE-2155,AE,,,40,swatches/AE-2155.jpeg,169,102,embedded,
AE-2156,AE,,,42,swatches/AE-2156.jpeg,169,102,embedded,
AE-2157,AE,,,42,swatches/AE-2157.jpeg,169,239,embedded,
AE-2158,AE,,,42,swatches/AE-2158.jpeg,169,102,embedded,
AE-2159,AE,,,42,swatches/AE-2159.jpeg,169,239,embedded,
AE-2160,AE,,,40,swatches/AE-2160.jpeg,169,102,embedded,
AE-2161,AE,,,40,swatches/AE-2161.jpeg,169,240,embedded,
AE-2162MT,AE,MT,Matte Series,37,swatches/AE-2162MT.jpeg,196,239,embedded,
AE-2162PO,AE,PO,E-Series PO Polyolefin,16,swatches/AE-2162PO.png,319,198,rendered,#FFFFFF
AE-2163AR,AE,AR,Abrasion Resistant,8,swatches/AE-2163AR.jpeg,192,149,embedded,
AE-2163MT,AE,MT,Matte Series,43,swatches/AE-2163MT.jpeg,196,239,embedded,
AE-2164MT,AE,MT,Matte Series,43,swatches/AE-2164MT.jpeg,196,239,embedded,
AE-2165MT,AE,MT,Matte Series,43,swatches/AE-2165MT.jpeg,196,239,embedded,
AE-2167AR,AE,AR,Abrasion Resistant,8,swatches/AE-2167AR.jpeg,90,149,embedded,
AE-2167MT,AE,MT,Matte Series,44,swatches/AE-2167MT.jpeg,169,239,embedded,
AE-2168,AE,,,62,swatches/AE-2168.jpeg,169,239,embedded,
AE-2500MT,AE,MT,Matte Series,44,swatches/AE-2500MT.jpeg,350,239,embedded,
AE-2501MT,AE,MT,Matte Series,43,swatches/AE-2501MT.jpeg,196,239,embedded,
AE-2502,AE,,,44,swatches/AE-2502.jpeg,349,239,embedded,
AE-2503,AE,,,42,swatches/AE-2503.jpeg,350,239,embedded,
AE-2504,AE,,,42,swatches/AE-2504.jpeg,350,239,embedded,
AE-2505,AE,,,42,swatches/AE-2505.jpeg,169,239,embedded,
AE-2506,AE,,,42,swatches/AE-2506.jpeg,350,239,embedded,
AE-2507,AE,,,42,swatches/AE-2507.jpeg,169,239,embedded,
AE-2508,AE,,,37,swatches/AE-2508.jpeg,196,239,embedded,
AE-2509,AE,,,40,swatches/AE-2509.jpeg,350,239,embedded,
AE-2510,AE,,,40,swatches/AE-2510.jpeg,350,239,embedded,
AE-2511,AE,,,39,swatches/AE-2511.jpeg,196,239,embedded,
